"M1" "M2"
"1" -2.63723621967845 -2.88019083246218
"2" 3.63878505873893 3.73397458816192
"3" -5.60960156760382 -2.68688522726469
"4" 3.7407706880664 3.19384625129653
"5" -3.04457679395282 -2.75560109335392
"6" 3.95417258133522 2.79148116232222
"7" -5.67426170648383 -2.06307950575922
"8" -2.79894315439155 -3.63770244714823
"9" 3.31691382775512 1.06143907542509
"10" 3.6610312531406 2.57482386333417
"11" 3.64168675235364 4.53016335075367
"12" 3.79995201417929 3.66966057187531
"13" -3.72920753522365 -3.81555323816577
"14" 3.86958245402378 2.54311439364782
"15" 4.1061649351618 4.31651396477436
"16" -3.02933739196751 -3.64593569287926
"17" -4.12417326847691 -1.79509500880126
"18" -1.27912895374824 1.67679162797635
"19" -4.47965841671901 -3.04286300737428
"20" -4.25236819455498 -3.59084818642067
"21" 4.13694391960245 3.49523387066996
"22" 4.08718489566728 3.26047747864004
"23" -2.62423609821629 -3.30391783223316
"24" 3.500778155336 2.31704255428773
"25" 2.59176570593967 0.212820518952653
"26" 2.351441104871 1.87127794252154
"27" 4.05638162207011 4.29937869476372
"28" 3.42871613757613 3.18408251946629
"29" 3.6682770609289 2.83874391178427
"30" -3.91833849474559 -3.31982393884596
"31" -3.90829253131501 -2.55110210447551
"32" 4.25075565648357 2.59469502926051
"33" 4.35923143696188 3.29468808427717
"34" 3.87922154164043 3.25680817132097
"35" 2.60212261597191 2.84204497951271
"36" 3.54267475151415 1.91934841419229
"37" 4.41112516592314 1.55561907790083
"38" 3.6928136640491 2.40522669303506
"39" -5.54618472594171 -2.8508402009354
"40" -5.12048651689628 -0.125410102199761
"41" 3.73026792872708 0.611030060263173
"42" 3.23827370970354 2.73472411589283
"43" -2.34750685254558 -2.72498659893578
"44" -4.06263040780926 -3.87374790451461
"45" 3.54793218462488 2.34411618354681
"46" 4.10884041155962 2.99727588028735
"47" 4.02019327902675 2.1126688898965
"48" -3.14244301830754 -3.3682506374203
"49" 4.94708155262896 2.3966551349821
"50" -3.61957874202575 -2.70694594538829
"51" 4.3908922863551 1.97437068505473
"52" 2.77957893982272 3.773382996054
"53" -4.77967049020268 -2.7322127934324
"54" -3.12189332844222 -2.26156497574761
"55" 4.85220763617406 3.48699428260819
"56" -5.01983703167326 -2.67975268263541
"57" -1.9432500131153 1.1492186947871
"58" 3.88927414280005 0.497002275198714
"59" -4.74187222092972 -3.59977417209792
"60" 3.38486096821026 1.21900354807831
"61" 3.18090593812452 2.82804561539785
"62" -3.85033253895096 -2.94161625426695
"63" 3.97330713068762 1.38709760260616
"64" -4.04238713195212 -2.5401395930914
"65" 3.05552684360919 2.38349094291879
"66" 3.86745680286793 3.97836027307811
"67" 4.76156795369397 3.68787593689236
"68" -3.10526185647832 -3.15840714443691
"69" 3.57029540254008 4.65282709749496
"70" 3.83372049547308 2.60344319091553
"71" 3.65728334722465 1.30615606846588
"72" 3.20456044203358 2.28838089573413
"73" 4.239662846692 3.1014082741905
"74" -2.88415371535524 -2.58817705476061
"75" -4.46638918268713 -3.04556395504685
"76" -5.27041244593982 -1.54915711643966
"77" -3.85080168034035 -2.951124993686
"78" -3.560864610668 -3.13927876386835
"79" 2.6740890619707 1.33694892920619
"80" 3.19302104802692 2.59083083793282
"81" -4.02736091515758 -2.30227002024795
"82" 3.80069031106264 2.61225387236815
"83" 3.82350896089075 2.46061027715729
"84" 4.15490534531121 6.29611565694831
"85" 4.59419206675399 3.17529182847223
"86" 3.95582144778817 -0.0835835240498679
"87" -4.46062905775213 -2.5169869054627
"88" 3.70132238466151 0.365086393900008
"89" 3.40486881581084 2.50996546129695
"90" -4.12022166526121 -3.01206283184741
"91" -3.54286838561527 -3.81799146431924
"92" -4.45860060243124 -1.8579893857096
"93" -3.02573752091174 -3.02666874435482
"94" -4.55328061180838 -2.19115743971552
"95" -2.04525853693631 -3.76180805581437
"96" -4.9654174996551 -1.80580801174473
"97" 3.73663115893752 2.89230750027918
"98" 3.43996306523243 2.77701404966423
"99" 3.34563144060125 2.61484953524321
"100" -3.31833422329068 -3.12255114368205
"101" 3.81392796355747 3.08781266676257
"102" -2.64941258114436 -4.42050657286696
"103" 3.43133715088463 1.48776419954419
"104" -2.49124132499572 -4.09300663483275
"105" -3.40959983819057 -2.70190439687115
"106" 4.02793320783298 2.02022491203833
"107" 4.35599967653774 1.95529594709428
"108" 3.17648238551315 2.25157776113995
"109" -2.92526613681448 -3.44510370987035
"110" -3.37678954194455 -3.69499695299145
"111" 3.59871655259175 2.66965505128323
"112" -5.53227641478274 -3.22582111829415
"113" -3.15715368578546 -2.93330012740039
"114" 2.73656838968922 1.55879786326369
"115" -3.71400997648225 -3.48427355581582
"116" 4.80716744083385 3.94587288930948
"117" -1.84544035864343 0.989527910341921
"118" 0.441160450250822 2.36882350455824
"119" 3.99068099016471 2.11570507192035
"120" -5.84142667093342 -1.2757906391232
"121" 2.92454544974534 0.999297331051428
